Mixture	Basal cells	Epithelial	Endothelial	Fibroblasts	Pericytes	Monocyte	Macrophage	T cells	B cells	pDC	P-value	Correlation	RMSE
BA00521	0	0.517927469258297	0.0394196600187585	0.149326877424795	0.0346274566832228	0	0.117965328306532	0.0919117539804702	0	0.0488214543279243	0	0.463138888212419	1.01227155372051
BA00522	0	0.543641653255507	0.0190094074599456	0.0987095240571811	0.0292336673931419	0.0542199721976325	0.00969235614927484	0.164480062623	0.0221990434678541	0.0588143133964627	0	0.483879546716895	0.990143285266028
BA00523	0.0543211632294101	0.264152754895548	0.0270699277288406	0.428604182062476	0.0507443085376966	0	0.094821541733917	0.0386395475215807	0.00563039967892167	0.0360161746116091	0	0.581087188978406	0.893142136510332
BA00525	0	0.460249158810795	0.0154392667990952	0.0833543928088341	0.04979826015435	0.0667251993616652	0.066342713368904	0.149816972341762	0.0353954023123777	0.0728786340422169	0	0.481826564288792	0.988909323073515
BA00526	0.0295138309520597	0.0673635708037245	0.0850174679946329	0.352945075003354	0.139563836076563	0	0.239970928929079	0.0595244978289765	0	0.0261007924116099	0	0.548312120865776	0.925858051833778
BA00527	0.0376929372961976	0.183764644417214	0.0325039153656826	0.383582412701059	0.0989967775328846	0	0.163384367238594	0.0558890757617631	0	0.0441858696866049	0	0.537988316956177	0.936170182839043
BA00528	0.100399239835166	0.192331320252352	0.00124236182793736	0.289837361253428	0.0594964709876663	0.0230136938197706	0.0944851836815504	0.160544853803443	0.0214293883198769	0.0572201262188102	0	0.442283860378575	1.02284936662622
BA00529	0	0.596094495996943	0.0144530496366267	0.0725770728940112	0.0380079923060641	0	0.0801652205186235	0.102087706656014	0.0434226031154015	0.0531918588763161	0	0.469826618328781	1.00430423956027
BA00530	0.00966455548537539	0.400491050336374	0.0292810401001331	0.250131483845024	0.0473151176801458	0	0.0894961657039027	0.0874756397519476	0.0354042729706662	0.0507406741264311	0	0.578617599743349	0.891028429668901
BA00531	0.000998537113172762	0.560904110824738	0.0297317530720135	0.0952924542439714	0.0276900362413549	0.0302735708168019	0.000521755573290989	0.107700658693533	0.0699968249886466	0.0768902984324763	0	0.471211360848417	0.999580232875478
BA00532	0.0256986232240361	0.385373615460716	0.0227535909959343	0.273234613862203	0.0538570130161935	0.0137875156891745	0.0594081282908696	0.112664276429651	0	0.0532226230312225	0	0.416323969577558	1.05147249857773
BA00533	0.044130547521619	0.43753851082195	0.0390207775304991	0.223626830288545	0.0579076311439459	0	0.104165864684996	0.0618585931700165	0	0.0317512448384285	0	0.406263226909149	1.06356409970499
BA00534	0	0.616206731610984	0.0283416762766934	0.0786732114275343	0.037302992828821	0.0214289840433362	0.0204350544023533	0.136316906492058	0	0.0612944429182199	0	0.476097334073124	1.00339659132427
BA00535	0.0864898164818391	0.737401815277681	0	0	0.0688960525678311	0	0.0513376966938723	0.0111064030793461	0.00796473079782283	0.0368034851016074	0	0.557247069560783	0.932490834725524
BA00536	0.0567613033884473	0.483299650083918	0.0310569190578274	0.254187655477247	0.0529167795955841	0.0158613367474639	0.0194023825818901	0.0429408413183092	0	0.0435731317493135	0	0.468072847938136	1.00989287707014
BA00537	0.0428877581320479	0.248818432176485	0.0296388580570637	0.196862031138297	0.103334530188298	0	0.107348657807496	0.132932607279174	0.0822426473146152	0.0559344779065227	0	0.477917251949938	0.983193120242087
BA00019	0.113364460516935	0.0722003698193869	0.0701218699090113	0.191812753674734	0.111523600420135	0.108970763055784	0	0.212960700102163	0.0892140652631044	0.0298314172387464	0	0.126607803539265	1.2684232025128
BA00024	0.025142632894568	0.171907944915539	0.0777163986641831	0.297852670760492	0.106157839732761	0.0480595603291285	0.0557002197182055	0.13023561090331	0.0447924829063768	0.0424346391754365	0	0.45418850720236	1.00895630639
BA00028	0.0449124971484328	0.123018892413169	0.0216875161792683	0.227822535560999	0.0422298501186423	0.0229849222210099	0.0724730288350453	0.19760163846343	0.18034859418112	0.0669205248788829	0	0.608746890717135	0.843347103725248
BA00060	0	0.550152649371014	0.0179686201269205	0.131585989620374	0.02388422074764	0.056508129530418	0.00453048553365788	0.136207388123527	0.0232579741704265	0.0559045427760215	0	0.253048205519733	1.19100259722742
BA00061	0.0038676754286056	0.590313713011377	0.0156422095713206	0.0524345602515492	0.0700220313071003	0.017337953172437	0.0365477455546928	0.102410865862746	0.0648369455766056	0.0465863002635661	0	0.539156898739122	0.934439858753896
BA00062	0	0.489803636549927	0.0243174986188207	0.0402924713396989	0.0646962190336884	0	0.10379645766304	0.163798277423254	0.0466035567466625	0.0666918826249087	0	0.388986200772117	1.07283180938395
BA00065	0	0.264178476479058	0	0.100424819497244	0.0905428782580222	0.0116510928700767	0.0738492048540137	0.302549529149588	0.0735202875002715	0.083283711391726	0	0.52578171600995	0.93644821341457
BA00067	0	0.371865024604566	0.0184561152771474	0.123673538779577	0.0281809533548153	0.0468618827424725	0.0878999509172353	0.154973380185276	0.0928814488034741	0.0752077053354355	0	0.534063675991508	0.930267624966793
BA00068	0	0.0548992631216109	0.00804366695417107	0.0465537235486328	0.0270623039895968	0	0.0783344301676774	0.312633594033899	0.3702804382687	0.102192579915712	0	0.499039147014561	0.941894015634302
BA00069	0.0486163936105028	0.544970270758567	0.0283893743013807	0.23809156575918	0	0.0307360540631425	0.00567455958883564	0.0585586208219518	0.00525273501130715	0.0397104260851323	0	0.51262625170669	0.9672856834266
